,SPY,JPM
2010-09-07,50.0646139614,50.4606605752
2010-09-08,60.1880007196,62.4374427182
2010-09-09,71.210527804,72.9988959028
2010-09-10,69.8901651054,81.8188727496
2010-09-13,68.5472139494,82.2788691121
2010-09-14,78.1637716029,77.5624349688
2010-09-15,91.9436718985,77.176488539
2010-09-16,91.7236531219,76.5558234009
2010-09-17,80.5280598724,63.8225977987
2010-09-20,80.62533083,63.9103010245
2010-09-21,89.4619947356,73.3673851553
2010-09-22,79.5811777105,63.6061201937
2010-09-23,69.8573800464,53.955510325
2010-09-24,71.1363829702,54.8405446143
2010-09-27,70.4548837164,44.8395021948
2010-09-28,59.9058623098,46.6659011897
2010-09-29,60.1857899193,37.042867905
2010-09-30,61.9193672505,27.0685414613
2010-10-01,70.9452735226,38.5423691247
2010-10-04,62.0324021282,39.2310702993
2010-10-05,61.3501561029,40.5122778599
2010-10-06,70.3746695474,49.6702645186
2010-10-07,71.5761747862,50.5375208607
2010-10-08,71.1367435135,42.5025011489
2010-10-11,70.7667295388,49.5780863774
2010-10-12,81.8236674567,59.302493838
2010-10-13,82.0261879873,54.5670148456
2010-10-14,68.8687120042,51.7072367947
2010-10-15,70.1340205232,34.471075609
2010-10-18,78.7991499938,36.2436615051
2010-10-19,64.2900709444,39.1795924896
2010-10-20,65.3001373129,40.2605840565
2010-10-21,74.6605674021,39.6125602916
2010-10-22,73.7630033186,44.0970563274
2010-10-25,74.4484047229,38.9742285717
2010-10-26,65.8393253888,32.3078370833
2010-10-27,55.8163961994,40.2659810943
2010-10-28,66.3181564608,50.0144686863
2010-10-29,56.2434850752,65.6659645267
2010-11-01,57.0659755512,54.0586517266
2010-11-02,70.5896975344,38.1859229262
2010-11-03,71.1041654819,36.565546744
2010-11-04,71.0970699205,53.9704325337
2010-11-05,72.3760402906,60.0525314954
2010-11-08,63.5254479518,60.3378363642
2010-11-09,62.376043218,60.8564473171
2010-11-10,61.1055541331,61.5357477167
2010-11-11,52.2478620034,54.9027380782
2010-11-12,49.6105046698,52.9753168641
2010-11-15,40.855660381,60.7063192019
2010-11-16,30.4724567771,59.4889320946
2010-11-17,20.0652527435,51.8388906627
2010-11-18,19.2523959347,46.0266399742
2010-11-19,18.1062846421,29.476188146
2010-11-22,17.9072104806,29.604639213
2010-11-23,17.6403587228,29.5562796482
2010-11-24,25.6849543668,26.6484077217
2010-11-26,26.8631602518,27.8608723753
2010-11-29,27.1357575849,38.2192098763
2010-11-30,26.1791235692,28.0849701547
2010-12-01,39.4949016047,40.6842552473
2010-12-02,49.5402734098,53.3687016194
2010-12-03,48.3355463006,53.1796763446
2010-12-06,46.8149107563,62.1062751776
2010-12-07,57.9332188228,60.3336652785
2010-12-08,60.5941650236,72.0336738203
2010-12-09,60.3036831818,73.8451120216
2010-12-10,65.7194185594,78.7333508582
2010-12-13,77.4269713356,79.222414913
2010-12-14,81.2648914152,78.4978330215
2010-12-15,69.5861136099,69.6911291559
2010-12-16,69.5335601635,58.6448657606
2010-12-17,59.6469313719,47.0996429557
2010-12-20,60.1323996435,46.7756305396
2010-12-21,56.9442820484,56.7602883177
2010-12-22,65.538909826,58.1196378513
2010-12-23,58.4473808625,55.2040278101
2010-12-27,51.4811720171,53.713295196
2010-12-28,48.0790049435,51.4815549975
2010-12-29,57.9738043798,54.9929293238
2010-12-30,63.0810433588,58.3135553531
2010-12-31,48.1961575837,68.8873082103
2011-01-03,64.8084519739,88.8403659203
2011-01-04,65.6549487123,89.7001249818
2011-01-05,67.2163721083,90.5446332054
2011-01-06,68.7842324962,77.6257420287
2011-01-07,62.9585435414,58.9234943316
2011-01-10,59.2170395912,51.3579113855
2011-01-11,61.2052572188,52.5503673884
2011-01-12,62.8716535524,60.3722351643
2011-01-13,70.5542819553,55.7023725544
2011-01-14,78.2727633171,63.0225428329
2011-01-18,77.8942435156,53.3909727055
2011-01-19,66.1191828903,44.4589745064
2011-01-20,53.7909708669,44.0891268502
2011-01-21,54.8343431411,52.23306721
2011-01-24,65.3629989079,56.9435624212
2011-01-25,63.0580159254,56.0635968802
2011-01-26,63.9519931853,55.9111830736
2011-01-27,64.3907461034,47.8659941925
2011-01-28,49.2096615042,48.2214327415
2011-01-31,40.8113612364,32.5338439106
2011-02-01,42.7644965867,42.5677589916
2011-02-02,51.0759625945,45.1609832624
2011-02-03,51.9402295707,33.1376961272
2011-02-04,51.4970829003,18.5753924625
2011-02-07,51.5403514416,30.2782790701
2011-02-08,60.5828875614,40.8245087614
2011-02-09,50.8341160934,31.2823428186
2011-02-10,41.4276767785,39.335662075
2011-02-11,56.114184019,52.7676060187
2011-02-14,65.6870038424,61.3302788715
2011-02-15,55.0677754232,62.4020658878
2011-02-16,55.5828772173,72.0852689292
2011-02-17,65.8777296171,71.9076179388
2011-02-18,65.8484186055,82.3752479026
2011-02-22,51.8916378519,69.2273496427
